Time,QR Code,Result
2025-09-01 09:46:13,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:46:44,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:53:47,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:55:34,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:55:47,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:56:24,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:56:33,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:56:44,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 09:56:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:00:40,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:01:00,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:02:42,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:09:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:21:09,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:21:28,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:22:03,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:23:15,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:23:35,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:24:38,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:25:12,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:25:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:26:05,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:26:27,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:26:42,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:26:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:27:32,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:06,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:16,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:25,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:35,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:34:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:36:01,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:37:33,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:40:32,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:42:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:43:08,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:43:28,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:43:48,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:44:36,DTADQ5DC44B1105853A03IN,PASS
